Parent_ID,Site_ID,Site_Name,Latitude,Longitude,GPS_Accuracy_ft,Stream_Name,State,Intermittent_or_Perennial,Deploy_Date,Time_Zone,Deploy_miniDOT_Notes,Deploy_Cotton_Strip_Notes,Deploy_Atmospheric_Sensor_Notes,Deploy_Notes,Sample_Date,Sample_Time_Arriving_PST,Sample_Time_Leaving_PST,Weather,Sediment,Percent_Canopy_Coverage,Percent_Macrophyte_Coverage,Percent_Algal_Mat_Coverage,General_Vegetation,Hydrogeomorphology,River_Gradient,Sample_Notes,Sediment_Latitude,Sediment_Longitude,Water_Depth_cm,Sediment_Collection_Depth_cm,miniDOT_Window_Condition,HOBO_Redeployed_Same_Location,Retrieve_Date,Retrieve_miniDOT_Notes,Retrieve_Cotton_Strip_Notes,Retrieve_Depth_Hobo_Notes,Depth_Hobo_Depth_cm,Retrieve_Notes,Hydrograph_Online
SSS011,S04,N/A,46.809991,-121.067369,18,North Fork Rattlesnake Creek,Washington,Perennial, 2022-07-28,PST,Deployed about 1-2 ft downstream of cotton strips,Nestled in thalweg on sand/gravel/cobble,N/A,Site located ~40 - 50 ft upstream of confluence w/ Rattlesnake Creek. Sensors located in thalweg nearest to right shoreline. 2 full quadrats w/ all photos, 2022-08-11,08:50:00,10:35,Sunny,Gravel/cobble (>2mm),None,None,Low (5-30%),Broadleaf deciduous tree; Shrub,Single-channel straight,Relatively steep gradient (e.g.; mountainous or hilly terrain),N/A,46.80989,-121.067232,8,1-3 cm as described in the protocol,Clean,Yes, 2022-09-01,Sensing window clean.,Cotton strips nestled in gravel. Cotton strips curled but a lot of sediment in one tea infuser,N/A,23,N/A,N/A
SSS012,S50P,N/A,46.752151,-120.817783,36,Naches River,Washington,Perennial, 2022-07-28,PST,Need to check water depth over sensors during sampling week. Only located ~5 ft from shore,Feel good about where cotton strips deployed just upstream of sensors,N/A,Site is located just off a small rocky beach ~ 30 to 40 ft upstream of rapids. Sensor/cotton strips located just 4-5 ft from shoreline. River isn't very deep and concerned about dropping water levels exposing sensors over time. Too swift a current to move deeper. 2 full quadrats with photos., 2022-08-11,11:14:00,12:54,Sunny,Gravel/cobble (>2mm),None,Low (5-30%),Low (5-30%),Broadleaf deciduous tree; Shrub,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),Very little sediment.,46.75212,-120.81783,4,1-3 cm as described in the protocol,Some invertebrates on window,Yes, 2022-09-01,Sensing window clean.,Cotton strips were sitting on top of rocks. Strips were curled.,N/A,17,N/A,https://www.usbr.gov/pn/hydromet/yakima/yakwebarcread.html
SSS013,T07,Yakima at Kiona,46.255808,-119.474167,30,Yakima River,Washington,Perennial, 2022-07-25,PST,miniDOT/wiper + HOBO deployed about 5ft downstream of cotton strips.,Deployed about 20ft downstream from access area about 10-12ft from bank,N/A,Take small trail on left side of parking; which is to the far left in big parking lot. Walk until you get to very large oak. There is an opening/fishing spot with easy access to river., 2022-08-08,07:14:00,-9999,Sunny,Gravel/cobble (>2mm),None,None,Low (5-30%),Broadleaf deciduous tree; Grass,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),N/A,46.25539,-119.47405,9.6,1-3 cm as described in the protocol,Clean,Yes, 2022-08-29,N/A,N/A,N/A,74,No pictures or videos taken at the site because water was very deep.,https://waterdata.usgs.gov/monitoring-location/12510500/#parameterCode=00060&period=P7D
SSS014,T02,Yakima at Mabton,46.232078,-119.999929,20,Yakima River,Washington,Perennial, 2022-07-25,PST,Deployed ~ 2ft immediately downstream of cotton strips.,Cotton strips are nestled in a soft bed of fine silt about 6ft from current water's edge,N/A,2 full quadrats. Site is at Mabton. All bricks deployed ~ 30ft downstream of boat ramp. Channel bottom is mucky; primarily silts and organic matter. We staked a branch just at the outer edge of cotton strips bricks. miniDOT/etc. are ~ 2ft immediately downstream, 2022-08-08,11:06:00,12:57,Sunny,Silt/mud (<0.0625mm),None,Low (5-30%),Low (5-30%),Shrub; Grass,Single-channel meandering,Relatively flat/gentle gradient (e.g.; valleys),Calm water; very murky with a lot of vegetation and macrophytes. Could not find sensors that day.,46.232031,-119.9999,18,1-3 cm as described in the protocol,N/A,No, 2022-08-29,N/A,Cotton strips not found.,N/A,58.4,N/A,https://waterdata.usgs.gov/monitoring-location/12508990/#parameterCode=00060&period=P7D
SSS015,T03,Yakima at Union Gap,46.530802,-120.470394,16,Yakima River,Washington,Perennial, 2022-07-25,PST,miniDOT/wiper + HOBO deployed adjacent to bank ~ 15ft downstream of boat ramp,Deployed about 3ft upstream of miniDOT,N/A,2 full quadrats. Added 2 extra bricks to each set up ~ 15ft downstream from ramp edge, 2022-08-08,14:25:00,15:09,Sunny,Gravel/cobble (>2mm),None,None,Low (5-30%),Broadleaf deciduous tree; Grass,Single-channel meandering,Relatively flat/gentle gradient (e.g.; valleys),"Lost chamber; swept away by river when no one was looking. Extra miniDOT and new bottle were used next day. Manual chamber data post-processing notes: initial QAQC plots using metadata incubation start/end times indicate that the incubation period was only 15 mins instead 75 mins for both miniDOT (SNs 412314 and 255981; one miniDOT was swept away). Upon review of the data; photos; etc.; we determined that the incubation end time was probably manually recorded in DST as opposed to PST. We added 60 mins to the incubation period and replotted the data; which showed that there was 75 mins of data. SGF edited the metadata fields ""Manual_Chamber_Incubation_End_Time_PST"" and Manual_Chamber_Time_Turned_Off_PST"" to add 60 mins;  changing the times from 15:08 to 16:08 to reflect the actual data.",46.53019,-120.470371,10,1-3 cm as described in the protocol,Clean,Yes, 2022-08-29,Copper clean,Big rocks up and downstream of bricks. Hard to get pictures of cotton strips,N/A,31.8,N/A,https://waterdata.usgs.gov/monitoring-location/12500450/#parameterCode=00060&period=P7D
SSS016,T42,Naches River Craig Road 2,46.728718,-120.713597,16,Naches River,Washington,Perennial, 2022-07-26,PST,N/A,N/A,N/A,"Use ""craig road 2"" location like for temporal", 2022-08-09,09:25:00,11:25,Overcast; Raining,Gravel/cobble (>2mm),None,None,High (>70%),Broadleaf deciduous tree; Grass,Single-channel meandering,Relatively flat/gentle gradient (e.g.; valleys),Weather was cloudy and cool. Water was low; fast and cool. It was drizzling almost entire time. It was difficult to collect sediment samples because there was not a lot of soil to collect from. It was mainly big rocks and gravel. RNAlater water filter broke but still kept it.,46.72885,-120.713523,3,1-3 cm as described in the protocol,Clean,Yes, 2022-08-30,Some fouling on the sensing window.,Curled with a lot of sediment. Tea infusers were not completely parallel anymore.,N/A,17.5,N/A,https://www.usbr.gov/pn/hydromet/yakima/yakwebarcread.html
SSS017,S58,N/A,46.68571,-120.655049,15,Naches River,Washington,Perennial, 2022-07-26,PST,N/A,N/A,N/A,Walk to the left to find the trail down to the water., 2022-08-09,12:12:00,14:05,Partly cloudy,Gravel/cobble (>2mm),None,None,Med (30-70%),Broadleaf deciduous tree; Grass,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),Sediment difficult to find because it was covered with rocks.,46.68557,-120.65534,5,1-3 cm as described in the protocol,Clean,Yes, 2022-08-30,N/A,Curled with a lot of sediment.,Hobo was loose from the brick.,20,N/A,https://www.usbr.gov/pn/hydromet/yakima/yakwebarcread.html
SSS018,S08,N/A,47.017331,-121.135541,15,Little Naches River,Washington,Perennial, 2022-07-27,PST,Placed close to the first 2 trees after the bridge.,Placed close to the first 2 trees after the bridge.,N/A,The GPS coordinates on Gaia are in a spot where there is construction. We met Mike Bosko from mid Columbia Fisheries who said it would be better to go downstream. He mentioned we might see disturbances in the data like increased temperature., 2022-08-10,07:40:00,10:01,Partly cloudy,Gravel/cobble (>2mm),None,Low (5-30%),Low (5-30%),Needleleaf evergreen tree; Grass,Multi-channel/Braided,Relatively flat/gentle gradient (e.g.; valleys),Hot weather. Hard to get to sensors. Large dirt; mostly rocky. Difficult to collect because there is not a lot of sediment in easy to reach places.,47.017112,-121.135668,5,1-3 cm as described in the protocol,Clean,Yes, 2022-08-31,N/A,Cotton strips were on their side facing upstream. Minimal sediment and curling.,N/A,49,N/A,https://www.usbr.gov/pn/hydromet/yakima/yakwebarcread.html
SSS019,S03,N/A,47.019547,-121.128494,12,Quartz Creek,Washington,Perennial, 2022-07-27,PST,N/A,N/A,N/A,"Parking turnout is the first spot immediately after the ""Ponderosa campground"" sign. The coordinates are 47.01876 N 121.12861 W for the parking spot. There is not clear trail down to the water but walk down and look for pink flags that turn to blue as you get closer.", 2022-08-10,10:36:00,12:45,Sunny,Silt/mud (<0.0625mm),Med (30-70%),Med (30-70%),Low (5-30%),Needleleaf evergreen tree,Single-channel straight,Relatively steep gradient (e.g.; mountainous or hilly terrain),Cold and calm water,47.019484,-121.12849,2,1-3 cm as described in the protocol,Clean,Yes, 2022-08-31,N/A,Minimal curling and low sediment.,N/A,19.2,N/A,N/A
SSS020,T05P,Little Naches at Nile,46.988976,-121.098221,13,Little Naches River,Washington,Perennial, 2022-07-27,PST,N/A,N/A,N/A,"A lot of bedrock near the edge of the stream. The grain size pictures mistakenly say ""T45"" on the whiteboard", 2022-08-10,13:05:00,14:50,Sunny,Gravel/cobble (>2mm),None,None,None,Broadleaf evergreen tree; Grass,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),Cool; calm water. Slight wind.,46.989066,-121.098275,6,1-3 cm as described in the protocol,Clean,Yes, 2022-08-31,N/A,Cotton strips curled with a lot of sediment.,N/A,43,N/A,https://www.usbr.gov/pn/hydromet/yakima/yakwebarcread.html
SSS021,S24,N/A,47.354314,-121.108221,15,Cle Elum River,Washington,Perennial, 2022-07-28,PST,We deployed the sensors upstream of a rock barrier,N/A,N/A,We deployed at the campsite nearest the GPS coordinate but there were no #5 on the campsite., 2022-08-11,07:24:00,09:50,Sunny,Gravel/cobble (>2mm),None,Low (5-30%),Low (5-30%),Needleleaf evergreen tree; Shrub,Single-channel meandering,Relatively flat/gentle gradient (e.g.; valleys),Sunny; hot day. Fast and cool river. Equilibration time went a bit over; due to waiting boat motor batteries to charge before starting incubation.,47.354327,-121.108189,5.5,1-3 cm as described in the protocol,Clean,Yes, 2022-09-01,N/A,Cotton strips were curled but with low sediment.,N/A,12.7,miniDOT/HOBO were about 1ft from shore,N/A
SSS022,S15,N/A,47.363633,-121.107253,16,Thorp Creek,Washington,Perennial, 2022-07-28,PST,N/A,N/A,N/A,We accessed by pulling into the camp spot to the right of the bridge then walked under the bridge to get on the left side., 2022-08-11,10:09:00,-9999,Sunny,Gravel/cobble (>2mm),High (>70%),None,Low (5-30%),Broadleaf evergreen tree; Shrub,Single-channel meandering,Relatively steep gradient (e.g.; mountainous or hilly terrain),Slightly breezy,47.36363,-121.1073,4,1-3 cm as described in the protocol,Clean,Yes, 2022-09-01,N/A,Cotton strips were right side up,N/A,10.67,N/A,N/A
SSS023,U20,RC3_03,46.898622,-120.64229,23,Umtanum Creek,Washington,Perennial, 2022-07-28,PST,Deployed immediately downstream of cotton strips,Nestled in muck on channel bottom. Water cold and clear.,N/A,One zoom out quadrat probably not representative of actual streambed. Site is down main path to location where channel is open and accessible. Sensors and cotton strips deployed in middle of still to very slow-moving channel and tied to burned tree with orange rope, 2022-08-12,07:21:00,-9999,Sunny,Silt/mud (<0.0625mm),Med (30-70%),High (>70%),Low (5-30%),Broadleaf deciduous tree; Shrub,Single-channel meandering,Relatively flat/gentle gradient (e.g.; valleys),No GPS location recorded. Latitude and Longitude copied from deployment,46.89861,-120.64229,38,1-3 cm as described in the protocol,Some mud on window,Yes, 2022-09-01,Sensing window clean.,Cotton strips were nestled in sediment. One was curled; the rest were flat.,N/A,27,N/A,N/A
SSS024,W20,RC3_01,46.832966,-120.712552,13,Wenas Creek,Washington,Perennial, 2022-07-26,PST,N/A,N/A,N/A,We had to move upstream of the bridge. Normal RC3 location was too far. The brush was very overgrown with lots of stinging nettles. Could only get 2 sets of quadrats because a lot of vegetation right up to the water., 2022-08-12,07:07:00,09:18,Sunny,Gravel/cobble (>2mm),Low (5-30%),Med (30-70%),None,Shrub; Grass,Single-channel meandering,Relatively flat/gentle gradient (e.g.; valleys),Manta left at site and logging data at 15 min intervals.,46.833125,-120.712486,8,1-3 cm as described in the protocol,Clean,Yes, 2022-08-30,Fouling on the sensing screen.,Curled in a lot of sediment.,N/A,13,Collected a manta here as well. Logging interval is 15 minutes. There was a lot of sediment on Manta,N/A
SSS025,S34R,N/A,46.275313,-120.13755,36,Satus Creek,Washington,Perennial, 2022-07-25,PST,N/A,N/A,Was already here,No exposed sediment for grain size photos. Bed is only of soft silt and gravel; with lots of vegetation., 2022-08-08,07:38:00,11:03,Sunny,Silt/mud (<0.0625mm),Low (5-30%),High (>70%),Low (5-30%),Broadleaf deciduous tree,Multi-channel/Braided,Relatively flat/gentle gradient (e.g.; valleys),miniDOT/HOBO covered in filamentous algae and algae. Manta deployed in pipekit carefully resting on lid because weighted sensor guard was missing and it was deployed facing upstream.,46.2752,-120.13768,38.1,1-3 cm as described in the protocol,Clean,Yes, 2022-08-29,miniDOT covered in grasses. Hard to take pictures/videos.,Covered in grasses. Hard to take pictures/videos. Not much cotton strips left.,N/A,39.4,N/A,N/A
SSS026,S36,N/A,46.31467,-120.19913,24,Toppenish Creek,Washington,Perennial, 2022-07-25,PST,N/A,N/A,N/A,No grain size photos because there is not any exposed sediment above the scour line. Sediment is silty/sandy with some gravels. Site is just below bridge along left-hand bank ~ 10' from bank, 2022-08-08,11:35:00,-9999,Sunny,Sand,Low (5-30%),High (>70%),Low (5-30%),Broadleaf deciduous tree,Single-channel meandering,Relatively flat/gentle gradient (e.g.; valleys),No weighted sensor guard on Manta.,46.3147,-120.19906,58.42,1-3 cm as described in the protocol,Clean. Miniwiper working,Yes, 2022-08-29,N/A,Cotton strips not in sediment. Facing upstream. Cotton strips were all gone. Small remnants left in a couple of infusers. Gathered what we could,N/A,26.7,N/A,N/A
SSS027,S32,N/A,46.235443,-120.419599,13,Satus Creek,Washington,Perennial, 2022-07-25,PST,Deployed in Thalweg of right-hand channel (facing down stream)~10ft upstream of riffle at the end of the mid-channel bar,Deployed ~ 4 - 5 ft upstream of miniDOT,N/A,Satus Creek upstream of road crossing; go through gate and follow dirt road to the right until you come upon close access for river. There is a small; steep dirt path down to river through shrubs., 2022-08-08,15:13:00,-9999,Sunny,Gravel/cobble (>2mm),Med (30-70%),Low (5-30%),None,Broadleaf deciduous tree,Multi-channel/Braided,Relatively flat/gentle gradient (e.g.; valleys),No boat motor in all manual chambers.,46.23542,-120.41966,22.86,1-3 cm as described in the protocol,Clean,Yes, 2022-08-29,Copper and sensor window clean,Cotton strips were muddy,N/A,25.4,N/A,N/A
SSS028,S42,N/A,46.2901,-120.871694,30,Unnamed Tributary,Washington,Perennial, 2022-07-26,PST,10ft downstream of sign near thalweg,Deployed about 2ft upstream of sensors,10ft upstream of sign,2 full quadrats. Site is through the woods about 200ft from road. Toppenish is a losing reach; lots of gravel; bars and pools and riffles. Sensors and cotton strips deployed just upstream of branch covering lower end of pool., 2022-08-09,08:30:00,-9999,Overcast; Drizzle,Gravel/cobble (>2mm),High (>70%),Low (5-30%),None,Needleleaf evergreen tree; Needleleaf deciduous tree,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),Two motor boats in manual chambers at the end of test. Forgot to write serial numbers,46.29017,-120.87167,-9999,1-3 cm as described in the protocol,Slight film and spotty on the face,Yes, 2022-08-30,Deployed with bricks on top and miniDOT in stream bed. Sensing window a little dirty.,Cotton strips sitting on top of bed with silty/rocky bottom. Cotton strips were curled,N/A,31.5,N/A,https://waterdata.usgs.gov/monitoring-location/12506000/#parameterCode=00060&period=P7D
SSS029,S41R,N/A,46.311038,-120.789126,13,Toppenish Creek,Washington,Perennial, 2022-07-26,PST,Deployed ~2 ft downstream from cotton strips,See notes section,N/A,White gate past (upstream) of ag diversion. Site is at visible stage plate (USGS staff gauge). Sensors/cotton strips deployed ~10 ft downstream of DO NOT DISTURB sign and ~3 ft from bank is strong current., 2022-08-09,10:54:00,-9999,Partly cloudy,Gravel/cobble (>2mm),Med (30-70%),None,None,Broadleaf deciduous tree,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),N/A,46.31108,-120.78907,-9999,1-3 cm as described in the protocol,Clean,Yes, 2022-08-30,Sensors facing down towards streambed and covered in algae.,Sitting on top of rocks. Not much sediment.,N/A,31,N/A,https://waterdata.usgs.gov/monitoring-location/12506000/#parameterCode=00060&period=P7D
SSS030,S43,N/A,46.365672000000004,-120.67035,66,Toppenish Creek,Washington,Perennial, 2022-07-26,PST,Deployed ~ 2 ft downstream of cotton strips in deeper water near undercut bank.,Deployed about 2ft upstream of miniDOT,N/A,2 quadrats. Site is located about 100m upstream of bridge along left-hand bank under overhanging bush. Bank is slightly undercut and deeper than rest of channel., 2022-08-09,14:00:00,15:50,Overcast; Warm,Gravel/cobble (>2mm),None,Low (5-30%),Low (5-30%),Broadleaf evergreen tree,Single-channel straight,Relatively flat/gentle gradient (e.g.; valleys),N/A,46.36564,-120.67037,1.5,1-3 cm as described in the protocol,Clean,Yes, 2022-08-30,Sensing window clean.,Cotton strips not flat on stream bed. They were sitting about 45 degree angle and not nestled in sediment. Strips were curled.,N/A,23.5,N/A,https://waterdata.usgs.gov/monitoring-location/12506000/#parameterCode=00060&period=P7D
SSS031,S47R,N/A,46.621411,-121.302716,13,North Fork Tieton River,Washington,Perennial, 2022-07-27,PST,Deployed about 2 ft downstream of cotton strips,Deployed on gravel/cobble and some sand.,N/A,Site access is via a barely visible switchback path taken from the pullout. Sensors/cotton strips deployed ~ 15' from left bank out of thalweg (water very swift and cold). One underwater quadrat; no zoomed in photos. Bed is mostly gravel with small cobble and sand., 2022-08-10,07:15:00,09:19,Sunny,Gravel/cobble (>2mm),Med (30-70%),None,None,Needleleaf evergreen tree; Broadleaf deciduous tree,Single-channel straight,Relatively steep gradient (e.g.; mountainous or hilly terrain),Added miniDOT 856289. It had not motor boat and only incubated for 40min. Lost chamber with miniDOT 077847 down the river. Cotton strips bricks were moved about 7 to 10ft downstream of original deployment location. They are currently downstream of miniDOT brick by about 5ft and tea infusers are facing downstream. A small pile of gravels have built up immediately behind the bricks. Flipped the bricks 90 degrees so tea infusers are now back in contact with river bed. Sensors redeployed immediately downstream of bricks. Double check Manta time in water.,46.62141,-121.3027,24,1-3 cm as described in the protocol,Slight film,Yes, 2022-08-31,Slight film/mud on sensing window.,Cotton strips sitting on rocks and were curled.,N/A,20,N/A,N/A
SSS032,C21,N/A,46.639983,-121.290034,25,Clear Creek,Washington,Perennial, 2022-07-27,PST,Sensors deployed just downstream of cotton strips.,Deployed as to avoid sandy bottom and swiftest part of current,N/A,Site is located upstream of 1st dispersed camp site on the other side of the large downed tree in channel. Sensors/cotton strips deployed just to the left (facing upstream) of thalweg just below brush/debris pile in channel to avoid sandy bottom (which isn't representative). Water is very swift and cold. 2 quadrats with all photos, 2022-08-10,10:00:00,11:58,Sunny,Gravel/cobble (>2mm),Low (5-30%),None,None,Needleleaf evergreen tree; Broadleaf deciduous tree,Single-channel meandering,Relatively steep gradient (e.g.; mountainous or hilly terrain),N/A,46.63992,-121.29006,11,1-3 cm as described in the protocol,Slight film,Yes, 2022-08-31,Sensing window clean.,Cotton strips sitting on small pebbles. 3 out of 4 stayed flat and one curled.,N/A,29.5,N/A,N/A
