File_Name,File_Description,Standard,Header_Rows,Column_or_Row_Name_Position,File_Path
CB_catchments_clean_joined.*,Shapefile for the Columbia River Basin clusters downloaded from Laan et al. (2025). The asterisk refers to the file extension. Due to the file size of the .shp file it is not included in the GitHub repository but can be located in the ESS-DIVE Data Package.,N/A,-9999,-9999,/v2_SSS_Ecosystem_Respiration_Data_Package/Figures/Map_Layers/CB_catchments_clustered
Columbia_Basin_Watershed_Boundary.*,Shapefile of the Columbia River Basin. Data were downloaded from USGS National Hydrography Dataset 2019 (https://www.usgs.gov/national-hydrography/national-hydrography-dataset). The asterisk refers to the file extension.,N/A,-9999,-9999,/v2_SSS_Ecosystem_Respiration_Data_Package/Figures/Map_Layers/Columbia_Basin_Watershed_Boundary
Yakima_River_Basin_Flowlines.*,Shapefile of rivers within the Yakima River Basin (YRB). Data were downloaded from USGS National Hydrography Dataset 2019 (https://www.usgs.gov/national-hydrography/national-hydrography-dataset).  The asterisk refers to the file extension.,N/A,-9999,-9999,/v2_SSS_Ecosystem_Respiration_Data_Package/Figures/Map_Layers/Yakima_River_Basin_Flowlines
Yakima_River_Basin.*,Shapefile of the Yakima River Basin (YRB) boundary. Data were downloaded from https://ecology.wa.gov/research-data/data-resources/geographic-information-systems-gis/data. The asterisk refers to the file extension.,N/A,-9999,-9999,/v2_SSS_Ecosystem_Respiration_Data_Package/Figures/Map_Layers/YakimaRiverBasin_Boundary
YRB_Cluster.*,"Shapefile of data from ""CB_catchments_clean_joined.*"" subsetted to the Yakima River Basin (YRB). The asterisk refers to the file extension.",N/A,-9999,-9999,/v2_SSS_Ecosystem_Respiration_Data_Package/Figures/Map_Layers/YRB_Cluster
readme_Published_Data.txt,Readme file directing the user to where to download the published data used in analyses. Users will need to download the published data to rerun the scripts.,N/A,-9999,-9999,/v2_SSS_Ecosystem_Respiration_Data_Package/Published_Data
Calculate_ERwc_ERsed.R,R script used to calculate water column respiration and sediment respiration.,N/A,-9999,-9999,/v2_SSS_Ecosystem_Respiration_Data_Package/Scripts
create_O2_consumption_rates_based_model_outputs.R,R script used to process published data from Son et al. (2022) into the units needed for our analyses.,N/A,-9999,-9999,/v2_SSS_Ecosystem_Respiration_Data_Package/Scripts
Create_SM_Input_Files.R,R script used to create the stream metabolizer inputs files.,N/A,-9999,-9999,/v2_SSS_Ecosystem_Respiration_Data_Package/Scripts
Create_SM_Input_Files_readme.txt,Readme file describing all of the steps in the Create_SM_Input_Files.R script.,N/A,-9999,-9999,/v2_SSS_Ecosystem_Respiration_Data_Package/Scripts
ERsed_Lasso.R,R script used to preform LASSO analysis. ,N/A,-9999,-9999,/v2_SSS_Ecosystem_Respiration_Data_Package/Scripts
ERsed_Manuscript_Figures.R,R script used to create the figures for the manuscript.,N/A,-9999,-9999,/v2_SSS_Ecosystem_Respiration_Data_Package/Scripts
ERsed_Manuscript_Maps.R,R script used to create the maps for the figures in the manuscript.,N/A,-9999,-9999,/v2_SSS_Ecosystem_Respiration_Data_Package/Scripts
Stream_Metabolizer.Rproj,R-project file used for running StreamMetabolizer. ,N/A,-9999,-9999,/v2_SSS_Ecosystem_Respiration_Data_Package/Stream_Metabolizer
histogram_*.png,Histogram plots of the outputs from StreamMetabolizer. The asterisk (*) indicates the Parent_ID and Site_ID seperated by an underscore.,N/A,-9999,-9999,/v2_SSS_Ecosystem_Respiration_Data_Package/Stream_Metabolizer/Histogram_Plots
v2_SSS_K600.csv,Gas exchange (k600) estimated from hydrologic parameters using emperical relationships. Input file for the streamMetabolizer model. ,ESS-DIVE Hydrologic Monitoring v1; ESS-DIVE CSV v1,1,1,/v2_SSS_Ecosystem_Respiration_Data_Package/Stream_Metabolizer/Inputs
v2_SSS_Slope_Discharge_Velocity.csv,Measured and modeled hydraulic conditions (velocity; slope; depth; and discharge). Input file to calculate K600 estimates (v*_SSS_K600.csv).,ESS-DIVE Hydrologic Monitoring v1; ESS-DIVE CSV v1,1,1,/v2_SSS_Ecosystem_Respiration_Data_Package/Stream_Metabolizer/Inputs
*_Temp_DO_Press_Depth,Approximately 35 days of 1-minute time-series data (temperature; dissolved oxygen; pressure; depth) collected using miniDOT and HOBO depth sensor. Depth was calculated (see data file header rows and installation methods file for more details). Depth and Pressure are measured/calculated with 15-minute resolution so the same value is repeated 15 times to upsample to 1-minute resolution. Input file for the streamMetabolizer model. The asterisk (*) indicates the version and Parent_ID.,ESS-DIVE Hydrologic Monitoring v1; ESS-DIVE CSV v1,1,1,/v2_SSS_Ecosystem_Respiration_Data_Package/Stream_Metabolizer/Inputs/Sensor_Files
*_Temp_DO_Press_Depth_Plot.html,Plot showing sensor time-series input data. The asterisk (*) indicates the version and Parent_ID.,N/A,-9999,-9999,/v2_SSS_Ecosystem_Respiration_Data_Package/Stream_Metabolizer/Inputs/Sensor_Files/Plots
v2_SSS_combined_SM_results.csv,Combined results of streamMetabolizer model for all sites. ,ESS-DIVE CSV v1,1,1,/v2_SSS_Ecosystem_Respiration_Data_Package/Stream_Metabolizer/Outputs
*_SM_final_daily_prediction_results.csv,"Daily mean results from stream metabolizer. Includes mean, standard deviation, and distribution stats for ER, GPP, and K600. Also includes daily fit statistics. The asterisk (*) indicates the version, Parent_ID, and Site_ID seperated by underscores.",ESS-DIVE CSV v1,1,1,/v2_SSS_Ecosystem_Respiration_Data_Package/Stream_Metabolizer/Outputs
*_SM_final_full_prediction_results.csv,"Model-time-resolution (15 minute) input values and model predictions for dissolved oxygen. The asterisk (*) indicates the version, Parent_ID, and Site_ID seperated by underscores.",ESS-DIVE CSV v1,1,1,/v2_SSS_Ecosystem_Respiration_Data_Package/Stream_Metabolizer/Outputs
*_SM_final_instant_fit_results.csv,"Model-time-resolution (15 minute) observation error and process error statistics. The asterisk (*) indicates the version, Parent_ID, and Site_ID seperated by underscores.",ESS-DIVE CSV v1,1,1,/v2_SSS_Ecosystem_Respiration_Data_Package/Stream_Metabolizer/Outputs
*_SM_final_overall_fit_results.csv,"Observation error and process error statistics for the complete study period. The asterisk (*) indicates the version, Parent_ID, and Site_ID seperated by underscores.",ESS-DIVE CSV v1,1,1,/v2_SSS_Ecosystem_Respiration_Data_Package/Stream_Metabolizer/Outputs
*_SM_output.HTML,"R markdown report containing the complete model run; including input plots; model performance metrics; and output plots. The asterisk (*) indicates the version, Parent_ID, and Site_ID seperated by underscores.",N/A,-9999,-9999,/v2_SSS_Ecosystem_Respiration_Data_Package/Stream_Metabolizer/Outputs
v2_K_estimation_final.Rmd,R markdown script for calculating gas exchange (K600) estimates (v*_SSS_K600.csv). ,N/A,-9999,-9999,/v2_SSS_Ecosystem_Respiration_Data_Package/Stream_Metabolizer/Scripts
v2_SM_results_analysis_final.Rmd,R markdown script for combining and summarizing streamMetabolizer model results. ,N/A,-9999,-9999,/v2_SSS_Ecosystem_Respiration_Data_Package/Stream_Metabolizer/Scripts
v2_SSS_SM_final_template.Rmd,R markdown script for the streamMetabolizer model. ,N/A,-9999,-9999,/v2_SSS_Ecosystem_Respiration_Data_Package/Stream_Metabolizer/Scripts
v2_SSS_SM_loop.R,R script that loops each site through the streamMetabolizer model.,N/A,-9999,-9999,/v2_SSS_Ecosystem_Respiration_Data_Package/Stream_Metabolizer/Scripts
