"","Parent_ID","Sample_Date","Sample_Latitude","Sample_Longitude","miniDOT_Date","miniDOT_Latitude","miniDOT_Longitude","miniDOT_Start_Time","miniDOT_End_Time","Time_Zone","miniDOT_SN","pH","Contact_First_Name","Contact_Last_Name","Organization","Site_ID","Site_Name","Stream_Name","City","State","Weather","Intermittent_or_Perennial","General_Vegetation","Hydrogeomorphology","River_Gradient","Sediment","Water_Depth_cm","Depositional_Type","Canopy_Coverage","Macrophyte_Coverage","Algal_Mat_Coverage","Sediment_Collection_Depth_cm","miniDOT_Notes","Additional_Sampling_Notes","Hydrograph_Online","NHD_lat","NHD_lon"
"11","SSS011"," 2022-08-11",46.8099,-121.0672," 2022-08-11",46.8099,-121.0672,"7:42:00","8:38:00","Pacific Standard Time (UTC-8)",194049,7.79,"James","Stegen","Pacific Northwest National Laboratory","S04","N/A","North Fork Rattlesnake Creek","N/A","Washington","Sunny","Perennial","Broadleaf deciduous tree; Shrub","Single-channel straight","Relatively steep gradient (e.g.; mountainous or hilly terrain)","Gravel/cobble (>2mm)",8,"N/A","No coverage","No coverage","Partial coverage","1-3 cm as described in the protocol","Clean.","N/A","N/A",46.81098,-121.06963
"12","SSS012"," 2022-08-11",46.7521,-120.8178," 2022-08-11",46.7521,-120.8178,"10:58:00","11:54:00","Pacific Standard Time (UTC-8)",92070,8.22,"James","Stegen","Pacific Northwest National Laboratory","S50P","N/A","Naches River","N/A","Washington","Sunny","Perennial","Broadleaf deciduous tree; Shrub","Single-channel straight","Relatively flat/gentle gradient (e.g.; valleys)","Gravel/cobble (>2mm)",4,"N/A","No coverage","Partial coverage","Partial coverage","1-3 cm as described in the protocol","Some invertebrates on window.","Very little sediment.","https://www.usbr.gov/pn/hydromet/yakima/yakwebarcread.html",46.75228,-120.81806
"13","SSS013"," 2022-08-08",46.2554,-119.474," 2022-08-08",46.2554,-119.474,"7:24:00","8:20:00","Pacific Standard Time (UTC-8)",443657,8.19,"James","Stegen","Pacific Northwest National Laboratory","T07","Yakima at Kiona","Yakima River","N/A","Washington","Sunny","Perennial","Broadleaf deciduous tree; Grass","Single-channel straight","Relatively flat/gentle gradient (e.g.; valleys)","Gravel/cobble (>2mm)",9.6,"N/A","No coverage","No coverage","Partial coverage","1-3 cm as described in the protocol","Clean.","N/A","https://waterdata.usgs.gov/monitoring-location/12510500/#parameterCode=00060&period=P7D",46.255319,-119.47405
"14","SSS014"," 2022-08-08",46.232,-119.9999," 2022-08-08",46.232,-119.9999,"11:19:00","12:00:00","Pacific Standard Time (UTC-8)",169228,8.22,"James","Stegen","Pacific Northwest National Laboratory","T02","Yakima at Mabton","Yakima River","N/A","Washington","Sunny","Perennial","Shrub; Grass","Single-channel meandering","Relatively flat/gentle gradient (e.g.; valleys)","Silt/mud (<0.0625mm)",18,"N/A","No coverage","Partial coverage","Partial coverage","1-3 cm as described in the protocol","N/A","Calm water; very murky with a lot of vegetation and macrophytes. ","https://waterdata.usgs.gov/monitoring-location/12508990/#parameterCode=00060&period=P7D",46.232095,-119.999901
"15","SSS015"," 2022-08-08",46.5302,-120.4704," 2022-08-08",46.5302,-120.4704,"14:09:00","15:05:00","Pacific Standard Time (UTC-8)",284528,8.19,"James","Stegen","Pacific Northwest National Laboratory","T03","Yakima at Union Gap","Yakima River","N/A","Washington","Sunny","Perennial","Broadleaf deciduous tree; Grass","Single-channel meandering","Relatively flat/gentle gradient (e.g.; valleys)","Gravel/cobble (>2mm)",10,"N/A","No coverage","No coverage","Partial coverage","1-3 cm as described in the protocol","Clean.","N/A","https://waterdata.usgs.gov/monitoring-location/12500450/#parameterCode=00060&period=P7D",46.530817,-120.470337
"16","SSS016"," 2022-08-09",46.7288,-120.7135," 2022-08-09",46.7288,-120.7135,"9:25:00","10:21:00","Pacific Standard Time (UTC-8)",20092,7.8,"James","Stegen","Pacific Northwest National Laboratory","T41","Naches River Craig Road 1","Naches River","N/A","Washington","Overcast; Raining","Perennial","Broadleaf deciduous tree; Grass","Single-channel meandering","Relatively flat/gentle gradient (e.g.; valleys)","Gravel/cobble (>2mm)",3,"N/A","No coverage","No coverage","Full coverage","1-3 cm as described in the protocol","Clean.","Weather was cloudy and cool. Water was low; fast and cool. It was drizzling almost entire time. It was difficult to collect sediment samples because there was not a lot of soil to collect from. It was mainly big rocks and gravel. RNAlater water filter broke but still kept it.","https://www.usbr.gov/pn/hydromet/yakima/yakwebarcread.html",46.72411,-120.70039
"17","SSS017"," 2022-08-09",46.6856,-120.6553," 2022-08-09",46.6858,-120.655,"11:25:00","12:21:00","Pacific Standard Time (UTC-8)",338715,7.81,"James","Stegen","Pacific Northwest National Laboratory","S58","N/A","Naches River","N/A","Washington","Partly cloudy","Perennial","Broadleaf deciduous tree; Grass","Single-channel straight","Relatively flat/gentle gradient (e.g.; valleys)","Gravel/cobble (>2mm)",5,"N/A","No coverage","No coverage","Partial coverage","1-3 cm as described in the protocol","Clean.","Sediment difficult to find because it was covered with rocks.","https://www.usbr.gov/pn/hydromet/yakima/yakwebarcread.html",46.68258,-120.65179
"18","SSS018"," 2022-08-10",47.0171,-121.1357," 2022-08-10",47.0172,-121.1354,"7:29:00","8:25:00","Pacific Standard Time (UTC-8)",194819,7.19,"James","Stegen","Pacific Northwest National Laboratory","S08","N/A","Little Naches River","N/A","Washington","Partly cloudy","Perennial","Needleleaf evergreen tree; Grass","Multi-channel/Braided","Relatively flat/gentle gradient (e.g.; valleys)","Gravel/cobble (>2mm)",5,"N/A","No coverage","Partial coverage","Partial coverage","1-3 cm as described in the protocol","Clean.","Hot weather. Hard to get to sensors. Large dirt; mostly rocky. Difficult to collect because there is not a lot of sediment in easy to reach places.","https://www.usbr.gov/pn/hydromet/yakima/yakwebarcread.html",47.02177,-121.14341
"19","SSS019"," 2022-08-10",47.0195,-121.1285," 2022-08-10",47.0195,-121.1285,"9:49:00","10:45:00","Pacific Standard Time (UTC-8)",605279,8.02,"James","Stegen","Pacific Northwest National Laboratory","S03","N/A","Quartz Creek","N/A","Washington","Sunny","Perennial","Needleleaf evergreen tree","Single-channel straight","Relatively steep gradient (e.g.; mountainous or hilly terrain)","Silt/mud (<0.0625mm)",2,"N/A","Partial coverage","Partial coverage","Partial coverage","1-3 cm as described in the protocol","Clean.","Cold and calm water.","N/A",47.01967,-121.12811
"20","SSS020"," 2022-08-10",46.9891,-121.0983," 2022-08-10",46.9891,-121.0982,"12:44:00","13:40:00","Pacific Standard Time (UTC-8)",727993,8.29,"James","Stegen","Pacific Northwest National Laboratory","T05P","Little Naches at Nile","Little Naches River","N/A","Washington","Sunny","Perennial","Broadleaf evergreen tree; Grass","Single-channel straight","Relatively flat/gentle gradient (e.g.; valleys)","Gravel/cobble (>2mm)",6,"N/A","No coverage","No coverage","No coverage","1-3 cm as described in the protocol","Clean.","Cool; calm water. Slight wind.","https://www.usbr.gov/pn/hydromet/yakima/yakwebarcread.html",46.98904,-121.09921
"21","SSS021"," 2022-08-11",47.3543,-121.1082," 2022-08-11",47.3543,-121.1083,"7:01:00","7:57:00","Pacific Standard Time (UTC-8)",116650,7.69,"James","Stegen","Pacific Northwest National Laboratory","S24","N/A","Cle Elum River","N/A","Washington","Sunny","Perennial","Needleleaf evergreen tree; Shrub","Single-channel meandering","Relatively flat/gentle gradient (e.g.; valleys)","Gravel/cobble (>2mm)",5.5,"N/A","No coverage","Partial coverage","Partial coverage","1-3 cm as described in the protocol","Clean.","Sunny; hot day. Fast and cool river.","N/A",47.35035,-121.10912
"22","SSS022"," 2022-08-11",47.3636,-121.1073," 2022-08-11",47.3636,-121.1073,"9:13:00","10:09:00","Pacific Standard Time (UTC-8)",803484,7.85,"James","Stegen","Pacific Northwest National Laboratory","S15","N/A","Thorp Creek","N/A","Washington","Sunny","Perennial","Broadleaf evergreen tree; Shrub","Single-channel meandering","Relatively steep gradient (e.g.; mountainous or hilly terrain)","Gravel/cobble (>2mm)",4,"N/A","Full coverage","No coverage","Partial coverage","1-3 cm as described in the protocol","Clean.","Slightly breezy.","N/A",47.363498,-121.106919
"23","SSS023"," 2022-08-12",46.8986,-120.6423," 2022-08-12",46.8986,-120.6423,"6:56:00","7:52:00","Pacific Standard Time (UTC-8)",565200,7.55,"James","Stegen","Pacific Northwest National Laboratory","U20","RC3_03","Umtanum Creek","N/A","Washington","Sunny","Perennial","Broadleaf deciduous tree; Shrub","Single-channel meandering","Relatively flat/gentle gradient (e.g.; valleys)","Silt/mud (<0.0625mm)",38,"N/A","Partial coverage","Full coverage","Partial coverage","1-3 cm as described in the protocol","Some mud on window.","No GPS location recorded. Latitude and Longitude copied from deployment.","N/A",46.898674,-120.642121
"24","SSS024"," 2022-08-12",46.8331,-120.7125," 2022-08-12",46.8331,-120.7125,"7:21:00","8:17:00","Pacific Standard Time (UTC-8)",700887,7.9,"James","Stegen","Pacific Northwest National Laboratory","W20","RC3_01","Wenas Creek","N/A","Washington","Sunny","Perennial","Shrub; Grass","Single-channel meandering","Relatively flat/gentle gradient (e.g.; valleys)","Gravel/cobble (>2mm)",8,"N/A","Partial coverage","Partial coverage","No coverage","1-3 cm as described in the protocol","Clean.","N/A","N/A",46.832848,-120.710887
"25","SSS025"," 2022-08-08",46.2752,-120.1377," 2022-08-08",46.2753,-120.1377,"7:27:00","8:23:00","Pacific Standard Time (UTC-8)",182707,7.5,"James","Stegen","Pacific Northwest National Laboratory","S34R","N/A","Satus Creek","N/A","Washington","Sunny","Perennial","Broadleaf deciduous tree","Multi-channel/Braided","Relatively flat/gentle gradient (e.g.; valleys)","Silt/mud (<0.0625mm)",38.1,"N/A","Partial coverage","Full coverage","Partial coverage","1-3 cm as described in the protocol","Minidot covered in filamentous algae and algae. ","N/A","N/A",46.2751523,-120.1367207
"26","SSS026"," 2022-08-08",46.3147,-120.1991," 2022-08-08",46.3147,-120.1991,"10:55:00","11:51:00","Pacific Standard Time (UTC-8)",179957,8.83,"James","Stegen","Pacific Northwest National Laboratory","S36","N/A","Toppenish Creek","N/A","Washington","Sunny","Perennial","Broadleaf deciduous tree","Single-channel meandering","Relatively flat/gentle gradient (e.g.; valleys)","Sand",58.42,"N/A","Partial coverage","Full coverage","Partial coverage","1-3 cm as described in the protocol","Clean. Miniwiper working.","N/A","N/A",46.314573,-120.199171
"27","SSS027"," 2022-08-08",46.2354,-120.4197," 2022-08-08",46.2354,-120.4197,"14:36:00","15:32:00","Pacific Standard Time (UTC-8)",854896,8.28,"James","Stegen","Pacific Northwest National Laboratory","S32","N/A","Satus Creek","N/A","Washington","Sunny","Perennial","Broadleaf deciduous tree","Multi-channel/Braided","Relatively flat/gentle gradient (e.g.; valleys)","Gravel/cobble (>2mm)",22.86,"N/A","Partial coverage","Partial coverage","No coverage","1-3 cm as described in the protocol","Clean.","N/A","N/A",46.23559571,-120.4191547
"28","SSS028"," 2022-08-09",46.2902,-120.8717," 2022-08-09",46.2902,-120.8717,"8:05:00","9:01:00","Pacific Standard Time (UTC-8)",775117,7.69,"James","Stegen","Pacific Northwest National Laboratory","S42","N/A","Unnamed Tributary","N/A","Washington","Overcast; Drizzle","Perennial","Needleleaf evergreen tree; Needleleaf deciduous tree","Single-channel straight","Relatively flat/gentle gradient (e.g.; valleys)","Gravel/cobble (>2mm)",-9999,"N/A","Full coverage","Partial coverage","No coverage","1-3 cm as described in the protocol","Slight film and spotty on the face.","N/A","https://waterdata.usgs.gov/monitoring-location/12506000/#parameterCode=00060&period=P7D",46.28982,-120.87329
"29","SSS029"," 2022-08-09",46.3111,-120.7891," 2022-08-09",46.3111,-120.7891,"10:26:00","11:22:00","Pacific Standard Time (UTC-8)",263695,8.03,"James","Stegen","Pacific Northwest National Laboratory","S41R","N/A","Toppenish Creek","N/A","Washington","Partly cloudy","Perennial","Broadleaf deciduous tree","Single-channel straight","Relatively flat/gentle gradient (e.g.; valleys)","Gravel/cobble (>2mm)",-9999,"N/A","Partial coverage","No coverage","No coverage","1-3 cm as described in the protocol","Clean.","N/A","https://waterdata.usgs.gov/monitoring-location/12506000/#parameterCode=00060&period=P7D",NA,NA
"30","SSS030"," 2022-08-09",46.3656,-120.6704," 2022-08-09",46.3656,-120.6704,"13:14:00","14:10:00","Pacific Standard Time (UTC-8)",857721,8.41,"James","Stegen","Pacific Northwest National Laboratory","S43","N/A","Toppenish Creek","N/A","Washington","Overcast; Warm","Perennial","Broadleaf evergreen tree","Single-channel straight","Relatively flat/gentle gradient (e.g.; valleys)","Gravel/cobble (>2mm)",1.5,"N/A","No coverage","Partial coverage","Partial coverage","1-3 cm as described in the protocol","Clean.","N/A","https://waterdata.usgs.gov/monitoring-location/12506000/#parameterCode=00060&period=P7D",46.36562,-120.66955
"31","SSS031"," 2022-08-10",46.6674,-121.094," 2022-08-10",46.6674,-121.094,"6:43:00","7:39:00","Pacific Standard Time (UTC-8)",519482,8.05,"James","Stegen","Pacific Northwest National Laboratory","S47R","N/A","North Fork Tieton River","N/A","Washington","Sunny","Perennial","Needleleaf evergreen tree; Broadleaf deciduous tree","Single-channel straight","Relatively steep gradient (e.g.; mountainous or hilly terrain)","Gravel/cobble (>2mm)",24,"N/A","Partial coverage","No coverage","No coverage","1-3 cm as described in the protocol","Slight film.","N/A","N/A",46.6212699,-121.3028265
"32","SSS032"," 2022-08-10",46.6399,-121.2901," 2022-08-10",46.6399,-121.2901,"9:13:00","10:09:00","Pacific Standard Time (UTC-8)",835040,7.46,"James","Stegen","Pacific Northwest National Laboratory","C21","N/A","Clear Creek","N/A","Washington","Sunny","Perennial","Needleleaf evergreen tree; Broadleaf deciduous tree","Single-channel meandering","Relatively steep gradient (e.g.; mountainous or hilly terrain)","Gravel/cobble (>2mm)",11,"N/A","Partial coverage","No coverage","No coverage","1-3 cm as described in the protocol","Slight film.","N/A","N/A",46.640209,-121.289883
"33","SSS033"," 2022-08-10",46.6382,-121.2631," 2022-08-10",46.6382,-121.2631,"12:09:00","13:05:00","Pacific Standard Time (UTC-8)",645487,7.5,"James","Stegen","Pacific Northwest National Laboratory","S48R","N/A","Indian Creek","N/A","Washington","Sunny","Perennial","Needleleaf evergreen tree; Broadleaf deciduous tree","Multi-channel/Braided","Relatively steep gradient (e.g.; mountainous or hilly terrain)","Gravel/cobble (>2mm)",4,"N/A","No coverage","No coverage","No coverage","1-3 cm as described in the protocol","Very slight film.","N/A","N/A",46.6454414,-121.2506811
"34","SSS034"," 2022-08-11",47.3966,-121.0977," 2022-08-11",47.3966,-121.0977,"9:02:00","9:58:00","Pacific Standard Time (UTC-8)",806577,7.6,"James","Stegen","Pacific Northwest National Laboratory","S18R","N/A","Cle Elum River","N/A","Washington","Sunny","Perennial","Needleleaf evergreen tree; Broadleaf deciduous tree","Single-channel meandering","Relatively steep gradient (e.g.; mountainous or hilly terrain)","Gravel/cobble (>2mm)",34,"N/A","No coverage","No coverage","No coverage","1-3 cm as described in the protocol","Medium film.","Sensor had moved near shallow waters near the bank.","N/A",47.39603,-121.096933
"35","SSS035"," 2022-08-11",47.3956,-121.104," 2022-08-11",47.3956,-121.104,"11:34:00","12:30:00","Pacific Standard Time (UTC-8)",437318,7.26,"James","Stegen","Pacific Northwest National Laboratory","S17R","N/A","Cooper River","N/A","Washington","Sunny","Perennial","Needleleaf evergreen tree; Broadleaf deciduous tree","Single-channel straight","Relatively steep gradient (e.g.; mountainous or hilly terrain)","Gravel/cobble (>2mm)",-9999,"N/A","Partial coverage","No coverage","No coverage","1-3 cm as described in the protocol","Slight film.","N/A","N/A",47.394429,-121.10174
"36","SSS036"," 2022-08-12",46.8674,-120.7743," 2022-08-12",46.8675,-120.7745,"6:54:00","7:50:00","Pacific Standard Time (UTC-8)",909143,7.74,"James","Stegen","Pacific Northwest National Laboratory","W10","RC3_02","Wenas Creek","N/A","Washington","Sunny","Perennial","Broadleaf deciduous tree","Single-channel straight","Relatively flat/gentle gradient (e.g.; valleys)","Gravel/cobble (>2mm)",16,"N/A","Full coverage","Partial coverage","Partial coverage","1-3 cm as described in the protocol","Clean.","N/A","N/A",46.867459,-120.774414
"37","SSS037"," 2022-08-08",46.0168,-120.6496," 2022-08-08",46.0168,-120.6497,"9:28:00","10:24:00","Pacific Standard Time (UTC-8)",179470,7.84,"James","Stegen","Pacific Northwest National Laboratory","S39","N/A","Satus Creek","N/A","Washington","Sunny","Perennial","Shrub; Grass","Single-channel straight","Relatively flat/gentle gradient (e.g.; valleys)","Gravel/cobble (>2mm)",15,"N/A","Full coverage","Partial coverage","No coverage","1-3 cm as described in the protocol","Minimal fouling.","N/A","N/A",46.016704,-120.649701
"38","SSS038"," 2022-08-08",46.029,-120.6364," 2022-08-08",46.029,-120.6364,"11:49:00","12:45:00","Pacific Standard Time (UTC-8)",681364,7.27,"James","Stegen","Pacific Northwest National Laboratory","S38","N/A","Unnamed Tributary","N/A","Washington","Sunny; Site completely shaded","Perennial","Broadleaf evergreen tree; Shrub","Single-channel straight","Relatively flat/gentle gradient (e.g.; valleys)","Gravel/cobble (>2mm)",6,"N/A","Full coverage","No coverage","Partial coverage","1-3 cm as described in the protocol","Minimal fouling.","Very low flow.","N/A",46.029003,-120.636526
"39","SSS039"," 2022-08-08",46.0284,-120.6115," 2022-08-08",46.0284,-120.6114,"13:29:00","14:25:00","Pacific Standard Time (UTC-8)",750289,7.84,"James","Stegen","Pacific Northwest National Laboratory","S37","N/A","Satus Creek","N/A","Washington","Sunny","Perennial","Broadleaf deciduous tree; Shrub","Single-channel straight","Relatively flat/gentle gradient (e.g.; valleys)","Gravel/cobble (>2mm)",20,"N/A","Partial coverage","Partial coverage","No coverage","1-3 cm as described in the protocol","Minimal fouling.","N/A","N/A",46.028244,-120.611858
"40","SSS040"," 2022-08-09",46.6833,-120.9404," 2022-08-09",46.6833,-120.9405,"8:21:00","9:17:00","Pacific Standard Time (UTC-8)",310845,7.42,"James","Stegen","Pacific Northwest National Laboratory","S54","N/A","Tieton River","N/A","Washington","Overcast; Raining","Perennial","Needleleaf evergreen tree; Shrub","Multi-channel/Braided","Relatively flat/gentle gradient (e.g.; valleys)","Gravel/cobble (>2mm)",12,"N/A","No coverage","Partial coverage","No coverage","1-3 cm as described in the protocol","Clean.","N/A","https://www.usbr.gov/pn/hydromet/yakima/yakwebarcread.html",46.68721,-120.93145
"41","SSS041"," 2022-08-09",46.7239,-120.8135," 2022-08-09",46.7238,-120.8135,"10:11:00","11:07:00","Pacific Standard Time (UTC-8)",912877,7.43,"James","Stegen","Pacific Northwest National Laboratory","S49R","N/A","Tieton River","N/A","Washington","Overcast","Perennial","Needleleaf deciduous tree; Shrub","Single-channel straight","Relatively flat/gentle gradient (e.g.; valleys)","Gravel/cobble (>2mm)",6,"N/A","No coverage","Partial coverage","No coverage","1-3 cm as described in the protocol","Minimal fouling.","N/A","N/A",46.72410553,-120.8126594
"42","SSS042"," 2022-08-09",46.7298,-120.8041," 2022-08-09",46.7298,-120.8041,"12:28:00","13:24:00","Pacific Standard Time (UTC-8)",424713,8.09,"James","Stegen","Pacific Northwest National Laboratory","S51","N/A","Tieton River","N/A","Washington","Overcast","Perennial","Needleleaf deciduous tree; Broadleaf deciduous tree","Single-channel straight","Relatively flat/gentle gradient (e.g.; valleys)","Gravel/cobble (>2mm)",20,"N/A","No coverage","Partial coverage","No coverage","1-3 cm as described in the protocol","Clean. Minidot deployed about 1 foot away from original spot because the water level seemed to have dropped. ","N/A","https://www.usbr.gov/pn/hydromet/yakima/yakwebarcread.html",46.729878,-120.803616
"43","SSS043"," 2022-08-10",46.9006,-121.2466," 2022-08-10",46.9007,-121.2468,"7:32:00","8:28:00","Pacific Standard Time (UTC-8)",177943,6.92,"James","Stegen","Pacific Northwest National Laboratory","S11","N/A","Bumping River","N/A","Washington","Partly cloudy","Perennial","Needleleaf evergreen tree; Broadleaf deciduous tree","Single-channel straight","Relatively flat/gentle gradient (e.g.; valleys)","Gravel/cobble (>2mm)",31,"N/A","Partial coverage","Partial coverage","No coverage","1-3 cm as described in the protocol","Clean.","N/A","https://www.usbr.gov/pn/hydromet/yakima/yakwebarcread.html",46.90086,-121.24984
"44","SSS044"," 2022-08-10",46.9754,-121.158," 2022-08-10",46.9754,-121.1581,"10:15:00","11:11:00","Pacific Standard Time (UTC-8)",593062,7.41,"James","Stegen","Pacific Northwest National Laboratory","S02","N/A","Bumping River","N/A","Washington","Sunny","Perennial","Needleleaf deciduous tree; Broadleaf deciduous tree","Single-channel straight","Relatively flat/gentle gradient (e.g.; valleys)","Gravel/cobble (>2mm)",22,"N/A","Partial coverage","Partial coverage","No coverage","1-3 cm as described in the protocol","Minimal fouling.","N/A","https://www.usbr.gov/pn/hydromet/yakima/yakwebarcread.html",46.97551,-121.15857
"45","SSS045"," 2022-08-10",46.976,-121.1579," 2022-08-10",46.976,-121.1579,"12:06:00","13:02:00","Pacific Standard Time (UTC-8)",236120,7.61,"James","Stegen","Pacific Northwest National Laboratory","S01","N/A","American River","N/A","Washington","Sunny","Perennial","Needleleaf deciduous tree; Broadleaf evergreen tree","Single-channel straight","Relatively flat/gentle gradient (e.g.; valleys)","Gravel/cobble (>2mm)",6,"N/A","Partial coverage","Partial coverage","No coverage","1-3 cm as described in the protocol","N/A","N/A","https://waterdata.usgs.gov/monitoring-location/12488500/#parameterCode=00060&period=P7D",46.9762,-121.15851
