# HeaderRows_25
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime_Start; YYYY-MM-DD; Pipe_Kit_02; Eureka Manta+ 35B real time clock..
# DateTime_End; YYYY-MM-DD; Pipe_Kit_02; Eureka Manta+ 35B real time clock..
# Chlorophyll_A_Max; micrograms_per_liter; Pipe_Kit_02; Eureka Manta+ 35B with Turner Designs C-FLUOR Chlorophyll-a fluorometer (blue excitation).
# Chlorophyll_A_Mean; micrograms_per_liter; Pipe_Kit_02; Eureka Manta+ 35B with Turner Designs C-FLUOR Chlorophyll-a fluorometer (blue excitation).
# Chlorophyll_A_Median; micrograms_per_liter; Pipe_Kit_02; Eureka Manta+ 35B with Turner Designs C-FLUOR Chlorophyll-a fluorometer (blue excitation).
# Chlorophyll_A_Min; micrograms_per_liter; Pipe_Kit_02; Eureka Manta+ 35B with Turner Designs C-FLUOR Chlorophyll-a fluorometer (blue excitation).
# Specific_Conductance_Max; microsiemens_per_centimeter; Pipe_Kit_02; Eureka Manta+ 35B with graphite four-electrode sensor.
# Specific_Conductance_Mean; microsiemens_per_centimeter; Pipe_Kit_02; Eureka Manta+ 35B with graphite four-electrode sensor.
# Specific_Conductance_Median; microsiemens_per_centimeter; Pipe_Kit_02; Eureka Manta+ 35B with graphite four-electrode sensor.
# Specific_Conductance_Min; microsiemens_per_centimeter; Pipe_Kit_02; Eureka Manta+ 35B with graphite four-electrode sensor.
# Temperature_Max; degree_celsius; Pipe_Kit_02; Eureka Manta+ 35B with thermistor.
# Temperature_Mean; degree_celsius; Pipe_Kit_02; Eureka Manta+ 35B with thermistor.
# Temperature_Median; degree_celsius; Pipe_Kit_02; Eureka Manta+ 35B with thermistor.
# Temperature_Min; degree_celsius; Pipe_Kit_02; Eureka Manta+ 35B with thermistor.
# Turbidity_Max; nephelometric_turbidity_units; Pipe_Kit_02; Eureka Manta+ 35B with ISO 7027 standard turbidity sensor with integrated wiper.
# Turbidity_Mean; nephelometric_turbidity_units; Pipe_Kit_02; Eureka Manta+ 35B with ISO 7027 standard turbidity sensor with integrated wiper.
# Turbidity_Median; nephelometric_turbidity_units; Pipe_Kit_02; Eureka Manta+ 35B with ISO 7027 standard turbidity sensor with integrated wiper.
# Turbidity_Min; nephelometric_turbidity_units; Pipe_Kit_02; Eureka Manta+ 35B with ISO 7027 standard turbidity sensor with integrated wiper.
# pH_Max; pH; Pipe_Kit_02; Eureka Manta+ 35B with glass pH sensor and reference electrode.
# pH_Mean; pH; Pipe_Kit_02; Eureka Manta+ 35B with glass pH sensor and reference electrode.
# pH_Median; pH; Pipe_Kit_02; Eureka Manta+ 35B with glass pH sensor and reference electrode.
# pH_Min; pH; Pipe_Kit_02; Eureka Manta+ 35B with glass pH sensor and reference electrode.
DateTime_Start,DateTime_End,Parent_ID,Site_ID,Chlorophyll_A_Max,Chlorophyll_A_Mean,Chlorophyll_A_Median,Chlorophyll_A_Min,Specific_Conductance_Max,Specific_Conductance_Mean,Specific_Conductance_Median,Specific_Conductance_Min,Temperature_Max,Temperature_Mean,Temperature_Median,Temperature_Min,Turbidity_Max,Turbidity_Mean,Turbidity_Median,Turbidity_Min,pH_Max,pH_Mean,pH_Median,pH_Min
 2022-08-12 07:45:00, 2022-08-12 09:45:00,SSS024,W20,2.7,1.951,1.77,1.49,168.3,167.144,167.1,166.1,19.7,18.693,18.7,17.77,21.2,8.502,3.975,1.88,7.99,7.936,7.94,7.86
 2022-08-08 08:18:00, 2022-08-08 10:51:00,SSS025,S34R,2.38,2.127,2.12,1.9,282.3,281.99,282,281.8,19.1,18.57,18.52,18.25,2.93,2.253,2.235,1.69,-9999,-9999,-9999,-9999
 2022-08-08 11:56:00, 2022-08-08 13:14:00,SSS026,S36,2.83,2.241,2.22,1.87,196.4,195.466,195.7,194.3,21.83,21.368,21.37,20.89,3.37,3.042,3.05,2.72,-9999,-9999,-9999,-9999
 2022-08-08 15:40:00, 2022-08-08 16:52:00,SSS027,S32,0.91,0.807,0.81,0.71,102.9,102.492,102.5,102.1,23.74,23.639,23.66,23.49,0.94,0.734,0.73,0.55,-9999,-9999,-9999,-9999
 -9999, -9999,SSS028,S42,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
 -9999, -9999,SSS029,S41R,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
 -9999, -9999,SSS030,S43,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
 2022-08-10 07:42:00, 2022-08-10 09:05:00,SSS031,S47R,0.26,0.182,0.18,0.13,54,53.882,53.9,53.7,9.82,9.617,9.605,9.48,1.69,1.423,1.41,1.14,-9999,-9999,-9999,-9999
 2022-08-10 09:55:00, 2022-08-10 11:44:00,SSS032,C21,0.55,0.194,0.18,0.04,65.5,65.361,65.3,65.2,6.86,6.434,6.45,5.95,0,0,0,0,-9999,-9999,-9999,-9999
 2022-08-10 12:44:00, 2022-08-10 14:02:00,SSS033,S48R,5.34,3.225,3.2,1.93,78.5,78.5,78.5,78.5,12.1,12.06,12.06,12.01,0,0,0,0,-9999,-9999,-9999,-9999
 2022-08-11 09:35:00, 2022-08-11 11:09:00,SSS034,S18R,0.2,0.169,0.17,0.14,46.5,46.34,46.3,46.2,15.59,15.213,15.18,14.95,0,0,0,0,-9999,-9999,-9999,-9999
 2022-08-11 12:37:00, 2022-08-11 13:55:00,SSS035,S17R,0.1,0.065,0.065,0.05,24.1,23.977,24,23.8,19.73,19.628,19.65,19.41,0,0,0,0,-9999,-9999,-9999,-9999
 2022-08-12 07:45:00, 2022-08-12 09:30:00,SSS036,W10,1.77,1.698,1.695,1.63,122.4,122.343,122.4,122.2,17.37,17.024,16.99,16.73,4.97,3.494,3.27,2.64,7.8,7.766,7.76,7.73
 2022-08-08 08:55:00, 2022-08-08 10:19:00,SSS037,S39,0.05,0.004,0,0,64.5,64.285,64.3,64.1,14.58,13.964,13.94,13.4,0,0,0,0,-9999,-9999,-9999,-9999
 2022-08-08 11:39:00, 2022-08-08 13:06:00,SSS038,S38,0,0,0,0,147.6,147.289,147.3,147.1,15.51,15.387,15.37,15.3,0,0,0,0,-9999,-9999,-9999,-9999
 2022-08-08 13:37:00, 2022-08-08 15:10:00,SSS039,S37,0.5,0.247,0.27,0.01,75.5,75.288,75.3,75.1,19.22,18.661,18.635,18.08,0.04,0.001,0,0,-9999,-9999,-9999,-9999
 2022-08-09 08:29:00, 2022-08-09 09:58:00,SSS040,S54,0.01,0.001,0,0,67.6,67.45,67.5,67.3,12.06,11.931,11.92,11.81,5.82,4.991,5,4.2,-9999,-9999,-9999,-9999
 2022-08-09 10:31:00, 2022-08-09 12:04:00,SSS041,S49R,0.11,0.034,0.02,0,74.9,73.934,73.9,73.1,15.63,14.643,14.65,13.9,4.06,3.61,3.63,3.13,-9999,-9999,-9999,-9999
 2022-08-09 12:27:00, 2022-08-09 13:55:00,SSS042,S51,0,0,0,0,69.3,69.236,69.2,69.2,15.92,15.869,15.87,15.81,4.77,4.222,4.19,3.83,-9999,-9999,-9999,-9999
 2022-08-10 07:38:00, 2022-08-10 09:09:00,SSS043,S11,0.34,0.133,0.11,0.03,35.5,35.322,35.3,35.2,16.76,16.425,16.415,16.14,0,0,0,0,-9999,-9999,-9999,-9999
 2022-08-10 09:46:00, 2022-08-10 11:18:00,SSS044,S02,0,0,0,0,39.4,39.4,39.4,39.4,17.71,16.886,16.88,16.14,0,0,0,0,-9999,-9999,-9999,-9999
 2022-08-10 11:33:00, 2022-08-10 13:03:00,SSS045,S01,5.5,4.622,4.65,3.62,65.1,64.936,64.9,64.8,15.1,14.694,14.74,14.23,0,0,0,0,-9999,-9999,-9999,-9999
 2022-08-11 07:40:00, 2022-08-11 09:09:00,SSS046,S22RR,0,0,0,0,146.5,145.706,145.7,145,18.65,17.999,17.94,17.54,0,0,0,0,-9999,-9999,-9999,-9999
 2022-08-11 09:50:00, 2022-08-11 11:16:00,SSS047,S23,0,0,0,0,48.5,48.282,48.3,48.1,14.29,13.859,13.74,13.61,0,0,0,0,-9999,-9999,-9999,-9999
 2022-08-11 12:31:00, 2022-08-11 13:49:00,SSS048,S29,0.72,0.335,0.29,0.15,99.6,98.69,98.6,98.1,22.52,21.911,21.94,21.17,2.67,0.959,0.76,0,-9999,-9999,-9999,-9999
