Parent_ID,Site_ID,Date,Start_Time,End_Time,Notes,Transect,River_Width_m,Point_A_Depth_cm,Point_B_Depth_cm,Point_C_Depth_cm,Point_D_Depth_cm,Point_E_Depth_cm,Point_F_Depth_cm,Distance_to_Sensor_m
SSS003,S31, 2022-08-08,15:10:00,15:35:00,N/A,9,9,5,5,10,31,39,-9999,121.5
SSS003,S31, 2022-08-08,15:10:00,15:35:00,N/A,10,7.5,56,67,73,72,40,-9999,133
SSS004,S55N, 2022-08-08,13:16:00,-9999,N/A,1,6.5,5,10,10,8,18,-9999,2
SSS004,S55N, 2022-08-08,13:16:00,-9999,N/A,2,5.5,7,10,12,10,5,-9999,12.5
SSS004,S55N, 2022-08-08,13:16:00,-9999,N/A,3,5.5,33,40,30,21,10,-9999,22.5
SSS004,S55N, 2022-08-08,13:16:00,-9999,N/A,4,3.5,20,49,30,15,5,-9999,34
SSS004,S55N, 2022-08-08,13:16:00,-9999,N/A,5,7,10,10,12,14,8,-9999,45.5
SSS004,S55N, 2022-08-08,13:16:00,-9999,N/A,6,6.5,30,31,22,13,12,-9999,57
SSS004,S55N, 2022-08-08,13:16:00,-9999,N/A,7,5,20,18,15,8,4,-9999,67
SSS004,S55N, 2022-08-08,13:16:00,-9999,N/A,8,6.5,17,15,16,5,5,-9999,83.5
SSS004,S55N, 2022-08-08,13:16:00,-9999,N/A,9,8.5,8,16,13,10,4,-9999,102.5
SSS004,S55N, 2022-08-08,13:16:00,-9999,N/A,10,8,10,10,15,20,20,-9999,117
SSS006,S56N, 2022-08-08,11:46:00,12:31:00,N/A,1,4.55,24,32,35,43,18,-9999,2
SSS006,S56N, 2022-08-08,11:46:00,12:31:00,N/A,2,5.5,48,52,45,30,24,-9999,12
SSS006,S56N, 2022-08-08,11:46:00,12:31:00,N/A,3,7.5,17,10,19,16,18,-9999,23.5
SSS006,S56N, 2022-08-08,11:46:00,12:31:00,N/A,4,6.5,27,37,35,30,42,-9999,36
SSS006,S56N, 2022-08-08,11:46:00,12:31:00,N/A,5,5.5,16,23,32,38,50,-9999,46.5
SSS006,S56N, 2022-08-08,11:46:00,12:31:00,N/A,6,7.5,27,17,34,48,43,-9999,57.5
SSS006,S56N, 2022-08-08,11:46:00,12:31:00,N/A,7,7,30,24,25,32,40,-9999,70
SSS006,S56N, 2022-08-08,11:46:00,12:31:00,N/A,8,6,38,40,40,39,37,-9999,81.5
SSS006,S56N, 2022-08-08,11:46:00,12:31:00,N/A,9,8,30,29,45,34,34,-9999,94
SSS006,S56N, 2022-08-08,11:46:00,12:31:00,N/A,10,7,45,39,46,27,25,-9999,110
SSS007,S53, 2022-08-10,14:22:00,14:40:00,N/A,1,7,14,20,15,13,11,-9999,2
SSS007,S53, 2022-08-10,14:22:00,14:40:00,N/A,2,5,11,19,26,19,9,-9999,16
SSS007,S53, 2022-08-10,14:22:00,14:40:00,N/A,3,5,34,30,20,12,17,-9999,25
SSS007,S53, 2022-08-10,14:22:00,14:40:00,N/A,4,4.5,10,29,41,30,16,-9999,35
SSS007,S53, 2022-08-10,14:22:00,14:40:00,N/A,5,8,10,14,29,30,39,-9999,50
SSS007,S53, 2022-08-10,14:22:00,14:40:00,N/A,6,6,16,42,57,33,24,-9999,68
SSS007,S53, 2022-08-10,14:22:00,14:40:00,N/A,7,7,27,21,17,5,8,-9999,77
SSS007,S53, 2022-08-10,14:22:00,14:40:00,N/A,8,9.5,11,20,6,28,25,-9999,86
SSS007,S53, 2022-08-10,14:22:00,14:40:00,N/A,9,7,30,52,75,70,11,-9999,99
SSS007,S53, 2022-08-10,14:22:00,14:40:00,N/A,10,5,10,10,23,25,20,-9999,107.5
SSS008,S52, 2022-08-11,13:20:00,13:46:00,N/A,1,2.2,9,13,14,11,18,-9999,2
SSS008,S52, 2022-08-11,13:20:00,13:46:00,N/A,2,2,6,11,32,36,6,-9999,8
SSS008,S52, 2022-08-11,13:20:00,13:46:00,N/A,3,1.9,27,41,38,36,10,-9999,18
SSS008,S52, 2022-08-11,13:20:00,13:46:00,N/A,4,2.7,28,43,46,37,28,-9999,23
SSS008,S52, 2022-08-11,13:20:00,13:46:00,N/A,5,1.7,13,16,14,15,21,-9999,30
SSS008,S52, 2022-08-11,13:20:00,13:46:00,N/A,6,1.5,53,56,50,55,10,-9999,34.5
SSS008,S52, 2022-08-11,13:20:00,13:46:00,N/A,7,2,18,12,12,9,6,-9999,40
SSS008,S52, 2022-08-11,13:20:00,13:46:00,N/A,8,1.6,30,25,24,17,13,-9999,47
SSS008,S52, 2022-08-11,13:20:00,13:46:00,N/A,9,1.9,7,14,10,5,6,-9999,54
SSS008,S52, 2022-08-11,13:20:00,13:46:00,N/A,10,3.4,30,33,38,25,20,-9999,61
SSS009,S45, 2022-08-11,12:10:00,-9999,N/A,1,10.7,45,75,90,68,30,-9999,6.5
SSS009,S45, 2022-08-11,12:10:00,-9999,N/A,2,13.9,26,42,60,38,23,-9999,29.3
SSS009,S45, 2022-08-11,12:10:00,-9999,N/A,3,17.3,35,25,40,47,50,-9999,57.2
SSS009,S45, 2022-08-11,12:10:00,-9999,N/A,4,20,52,65,30,25,33,-9999,81.2
SSS009,S45, 2022-08-11,12:10:00,-9999,N/A,5,15.9,30,70,65,25,14,-9999,111.2
SSS009,S45, 2022-08-11,12:10:00,-9999,N/A,6,14.5,48,55,40,40,17,-9999,141.2
SSS009,S45, 2022-08-11,12:10:00,-9999,N/A,7,16.5,25,33,16,39,50,-9999,170.1
SSS009,S45, 2022-08-11,12:10:00,-9999,N/A,8,16.4,29,12,58,40,40,-9999,206.4
SSS009,S45, 2022-08-11,12:10:00,-9999,N/A,9,16.4,20,70,55,30,22,-9999,239.6
SSS009,S45, 2022-08-11,12:10:00,-9999,N/A,10,21.7,20,15,30,50,27,-9999,268.2
SSS010,S10, 2022-08-11,07:51:00,08:20:00,N/A,1,13.3,22,26,19,23,65,-9999,-9999
SSS010,S10, 2022-08-11,07:51:00,08:20:00,N/A,2,12,10,18,29,38,37,-9999,-9999
SSS010,S10, 2022-08-11,07:51:00,08:20:00,N/A,3,10.7,20,46,41,36,12,-9999,-9999
SSS010,S10, 2022-08-11,07:51:00,08:20:00,N/A,4,10.9,10,26,48,54,36,-9999,-9999
SSS010,S10, 2022-08-11,07:51:00,08:20:00,N/A,5,19.2,12,17,38,30,13,-9999,-9999
SSS010,S10, 2022-08-11,07:51:00,08:20:00,N/A,6,12.4,15,13,38,40,19,-9999,-9999
SSS010,S10, 2022-08-11,07:51:00,08:20:00,N/A,7,13.3,20,32,48,45,11,-9999,-9999
SSS010,S10, 2022-08-11,07:51:00,08:20:00,N/A,8,10.4,15,40,35,25,18,-9999,-9999
SSS010,S10, 2022-08-11,07:51:00,08:20:00,N/A,9,10.3,17,40,53,41,11,-9999,-9999
SSS010,S10, 2022-08-11,07:51:00,08:20:00,N/A,10,8.9,29,45,44,30,7,-9999,-9999
SSS011,S04, 2022-08-11,10:05:00,10:20:00,N/A,1,5.7,6,20,24,15,12,-9999,-9999
SSS011,S04, 2022-08-11,10:05:00,10:20:00,N/A,2,6.6,19,15,20,17,9,-9999,-9999
SSS011,S04, 2022-08-11,10:05:00,10:20:00,N/A,3,6.2,10,13,19,22,20,-9999,-9999
SSS011,S04, 2022-08-11,10:05:00,10:20:00,N/A,4,5.9,12,29,18,12,7,-9999,-9999
SSS011,S04, 2022-08-11,10:05:00,10:20:00,N/A,5,5.2,14,35,32,39,5,-9999,-9999
SSS011,S04, 2022-08-11,10:05:00,10:20:00,N/A,6,5.2,18,23,37,40,17,-9999,-9999
SSS011,S04, 2022-08-11,10:05:00,10:20:00,N/A,7,9.4,10,21,10,30,10,-9999,-9999
SSS011,S04, 2022-08-11,10:05:00,10:20:00,N/A,8,6.6,15,39,30,18,4,-9999,-9999
SSS011,S04, 2022-08-11,10:05:00,10:20:00,N/A,9,7.3,25,48,73,55,13,-9999,-9999
SSS011,S04, 2022-08-11,10:05:00,10:20:00,N/A,10,12.2,17,7,15,24,35,-9999,-9999
SSS012,S50P, 2022-09-10,09:10:00,10:00:00,N/A,1,33.9,40,40,67,65,50,-9999,6.1
SSS012,S50P, 2022-09-10,09:10:00,10:00:00,N/A,2,40,50,70,65,65,47,-9999,23.1
SSS012,S50P, 2022-09-10,09:10:00,10:00:00,N/A,3,46,42,65,45,34,18,-9999,43.1
SSS012,S50P, 2022-09-10,09:10:00,10:00:00,N/A,4,48,44,79,50,25,17,-9999,65.1
SSS012,S50P, 2022-09-10,09:10:00,10:00:00,N/A,5,50,76,90,45,20,20,-9999,85.1
SSS012,S50P, 2022-09-10,09:10:00,10:00:00,N/A,6,50,52,64,50,28,25,-9999,105.1
SSS012,S50P, 2022-09-10,09:10:00,10:00:00,N/A,7,48,65,80,55,20,25,-9999,128.6
SSS012,S50P, 2022-09-10,09:10:00,10:00:00,N/A,8,47,47,58,55,24,27,-9999,147.6
SSS012,S50P, 2022-09-10,09:10:00,10:00:00,N/A,9,47,70,88,35,35,32,-9999,166.6
SSS012,S50P, 2022-09-10,09:10:00,10:00:00,N/A,10,42,115,109,50,50,50,-9999,188.6
SSS018,S08, 2022-08-08,08:06:00,08:42:00,At 7; depth transect goes across confluence. Some evidence of channel restoration/active stream restoration 0.5 miles from transect 10.,1,16.5,61,61,28,26,11,-9999,6
SSS018,S08, 2022-08-08,08:06:00,08:42:00,At 7; depth transect goes across confluence. Some evidence of channel restoration/active stream restoration 0.5 miles from transect 10.,2,14,57,41,52,32,18,-9999,19
SSS018,S08, 2022-08-08,08:06:00,08:42:00,At 7; depth transect goes across confluence. Some evidence of channel restoration/active stream restoration 0.5 miles from transect 10.,3,10.5,25,38,54,45,29,-9999,45.5
SSS018,S08, 2022-08-08,08:06:00,08:42:00,At 7; depth transect goes across confluence. Some evidence of channel restoration/active stream restoration 0.5 miles from transect 10.,4,9.1,14,20,27,32,22,-9999,76.6
SSS018,S08, 2022-08-08,08:06:00,08:42:00,At 7; depth transect goes across confluence. Some evidence of channel restoration/active stream restoration 0.5 miles from transect 10.,5,11.3,15,14,37,30,29,-9999,106.1
SSS018,S08, 2022-08-08,08:06:00,08:42:00,At 7; depth transect goes across confluence. Some evidence of channel restoration/active stream restoration 0.5 miles from transect 10.,6,6.9,16,41,47,20,32,-9999,144.6
SSS018,S08, 2022-08-08,08:06:00,08:42:00,At 7; depth transect goes across confluence. Some evidence of channel restoration/active stream restoration 0.5 miles from transect 10.,7,17.3,11,24,31,34,30,-9999,176.8
SSS018,S08, 2022-08-08,08:06:00,08:42:00,At 7; depth transect goes across confluence. Some evidence of channel restoration/active stream restoration 0.5 miles from transect 10.,8,8.7,21,37,42,48,24,-9999,202.7
SSS018,S08, 2022-08-08,08:06:00,08:42:00,At 7; depth transect goes across confluence. Some evidence of channel restoration/active stream restoration 0.5 miles from transect 10.,9,8.4,14,18,27,56,42,-9999,225.7
SSS018,S08, 2022-08-08,08:06:00,08:42:00,At 7; depth transect goes across confluence. Some evidence of channel restoration/active stream restoration 0.5 miles from transect 10.,10,5.7,16,40,54,55,32,-9999,273
SSS019,S03, 2022-08-08,09:06:00,09:30:00,Didn't record transect 10 latitude and longitude. A lot of overgrowth on river.,1,5.6,9,19,17,14,15,-9999,5.7
SSS019,S03, 2022-08-08,09:06:00,09:30:00,Didn't record transect 10 latitude and longitude. A lot of overgrowth on river.,2,5.1,18,33,27,16,8,-9999,15.5
SSS019,S03, 2022-08-08,09:06:00,09:30:00,Didn't record transect 10 latitude and longitude. A lot of overgrowth on river.,3,3.4,11,18,29,25,18,-9999,23.9
SSS019,S03, 2022-08-08,09:06:00,09:30:00,Didn't record transect 10 latitude and longitude. A lot of overgrowth on river.,4,1.6,3,16,27,25,25,-9999,30.7
SSS019,S03, 2022-08-08,09:06:00,09:30:00,Didn't record transect 10 latitude and longitude. A lot of overgrowth on river.,5,5.4,5,4,19,20,22,-9999,49.1
SSS019,S03, 2022-08-08,09:06:00,09:30:00,Didn't record transect 10 latitude and longitude. A lot of overgrowth on river.,6,6.4,17,35,25,19,21,-9999,57.4
SSS019,S03, 2022-08-08,09:06:00,09:30:00,Didn't record transect 10 latitude and longitude. A lot of overgrowth on river.,7,4.2,10,26,20,25,9,-9999,73.2
SSS019,S03, 2022-08-08,09:06:00,09:30:00,Didn't record transect 10 latitude and longitude. A lot of overgrowth on river.,8,3.8,10,23,19,17,3,-9999,79.7
SSS019,S03, 2022-08-08,09:06:00,09:30:00,Didn't record transect 10 latitude and longitude. A lot of overgrowth on river.,9,3.7,10,19,17,18,7,-9999,85.1
SSS019,S03, 2022-08-08,09:06:00,09:30:00,Didn't record transect 10 latitude and longitude. A lot of overgrowth on river.,10,3.9,5,19,18,10,9,-9999,99.3
SSS020,T05P, 2022-08-08,16:12:00,-9999,N/A,1,18.1,14,33,80,91,44,-9999,9.6
SSS020,T05P, 2022-08-08,16:12:00,-9999,N/A,2,12.7,14,51,102,109,50,-9999,39.6
SSS020,T05P, 2022-08-08,16:12:00,-9999,N/A,3,16.5,38,60,40,35,20,-9999,60.6
SSS020,T05P, 2022-08-08,16:12:00,-9999,N/A,4,14.1,25,33,40,44,48,-9999,88.9
SSS020,T05P, 2022-08-08,16:12:00,-9999,N/A,5,13.3,48,40,23,25,18,-9999,118.8
SSS020,T05P, 2022-08-08,16:12:00,-9999,N/A,6,21.8,20,15,30,37,28,-9999,148.1
SSS020,T05P, 2022-08-08,16:12:00,-9999,N/A,7,20.3,20,20,30,23,28,-9999,175.4
SSS020,T05P, 2022-08-08,16:12:00,-9999,N/A,8,21.1,24,27,21,46,37,-9999,204.2
SSS020,T05P, 2022-08-08,16:12:00,-9999,N/A,9,18.7,26,31,40,48,42,-9999,238.2
SSS020,T05P, 2022-08-08,16:12:00,-9999,N/A,10,14.3,38,89,104,138,141,-9999,264.2
SSS021,S24, 2022-08-09,10:51:00,-9999,N/A,1,65.1,46,58,46,31,16,-9999,6.4
SSS021,S24, 2022-08-09,10:51:00,-9999,N/A,2,53,45,65,63,33,20,-9999,63.4
SSS021,S24, 2022-08-09,10:51:00,-9999,N/A,3,41.8,25,69,61,62,51,-9999,120
SSS021,S24, 2022-08-09,10:51:00,-9999,N/A,4,39,85,70,58,38,43,-9999,184
SSS021,S24, 2022-08-09,10:51:00,-9999,N/A,5,42.2,18,38,41,43,64,-9999,238.3
SSS021,S24, 2022-08-09,10:51:00,-9999,N/A,6,80.6,56,52,44,40,35,-9999,296.3
SSS021,S24, 2022-08-09,10:51:00,-9999,N/A,7,38.5,62,41,20,46,70,-9999,348.1
SSS021,S24, 2022-08-09,10:51:00,-9999,N/A,8,38.1,43,52,42,60,55,-9999,409.1
SSS021,S24, 2022-08-09,10:51:00,-9999,N/A,9,39.6,49,41,47,36,52,-9999,460.9
SSS021,S24, 2022-08-09,10:51:00,-9999,N/A,10,39.2,28,40,58,63,65,-9999,522.9
SSS022,S15, 2022-08-09,11:38:00,12:05:00,N/A,1,4.8,25,29,10,9,10,-9999,5.5
SSS022,S15, 2022-08-09,11:38:00,12:05:00,N/A,2,6.4,7,16,10,10,10,-9999,26.6
SSS022,S15, 2022-08-09,11:38:00,12:05:00,N/A,3,3.4,5,19,21,7,9,-9999,42.9
SSS022,S15, 2022-08-09,11:38:00,12:05:00,N/A,4,2.9,12,15,37,26,8,-9999,64
SSS022,S15, 2022-08-09,11:38:00,12:05:00,N/A,5,8.2,4,17,2,16,10,-9999,78.7
SSS022,S15, 2022-08-09,11:38:00,12:05:00,N/A,6,7.4,18,15,10,3,5,-9999,100.5
SSS022,S15, 2022-08-09,11:38:00,12:05:00,N/A,7,4.8,7,17,25,15,16,-9999,115.7
SSS022,S15, 2022-08-09,11:38:00,12:05:00,N/A,8,5.2,16,26,18,17,10,-9999,138.4
SSS022,S15, 2022-08-09,11:38:00,12:05:00,N/A,9,4.9,3,7,15,22,16,-9999,157.7
SSS022,S15, 2022-08-09,11:38:00,12:05:00,N/A,10,6.8,9,18,18,6,5,-9999,179
SSS023,U20, 2022-08-12,08:14:00,-9999,Transect 1 through 7 taken upstream of sensors. Transect 8 was done about 3 m downstream from sensor. A lot of macrophyte cover. Very hard to distinguish wetted width and a lot of the stream was not visible or accessible. Tablet wasn't charged so unable to get latitude and longitude but all measurements were taken about 3 - 5 meters apart.,1,1.8,30,38,38,32,29,-9999,-9999
SSS023,U20, 2022-08-12,08:14:00,-9999,Transect 1 through 7 taken upstream of sensors. Transect 8 was done about 3 m downstream from sensor. A lot of macrophyte cover. Very hard to distinguish wetted width and a lot of the stream was not visible or accessible. Tablet wasn't charged so unable to get latitude and longitude but all measurements were taken about 3 - 5 meters apart.,2,3.9,25,10,12,7,4,-9999,-9999
SSS023,U20, 2022-08-12,08:14:00,-9999,Transect 1 through 7 taken upstream of sensors. Transect 8 was done about 3 m downstream from sensor. A lot of macrophyte cover. Very hard to distinguish wetted width and a lot of the stream was not visible or accessible. Tablet wasn't charged so unable to get latitude and longitude but all measurements were taken about 3 - 5 meters apart.,3,2.5,4,3,5,7,3,-9999,-9999
SSS023,U20, 2022-08-12,08:14:00,-9999,Transect 1 through 7 taken upstream of sensors. Transect 8 was done about 3 m downstream from sensor. A lot of macrophyte cover. Very hard to distinguish wetted width and a lot of the stream was not visible or accessible. Tablet wasn't charged so unable to get latitude and longitude but all measurements were taken about 3 - 5 meters apart.,4,3.7,2,4,5,6,2,-9999,-9999
SSS023,U20, 2022-08-12,08:14:00,-9999,Transect 1 through 7 taken upstream of sensors. Transect 8 was done about 3 m downstream from sensor. A lot of macrophyte cover. Very hard to distinguish wetted width and a lot of the stream was not visible or accessible. Tablet wasn't charged so unable to get latitude and longitude but all measurements were taken about 3 - 5 meters apart.,5,5.7,19,10,12,23,5,-9999,-9999
SSS023,U20, 2022-08-12,08:14:00,-9999,Transect 1 through 7 taken upstream of sensors. Transect 8 was done about 3 m downstream from sensor. A lot of macrophyte cover. Very hard to distinguish wetted width and a lot of the stream was not visible or accessible. Tablet wasn't charged so unable to get latitude and longitude but all measurements were taken about 3 - 5 meters apart.,6,1.9,13,3,9,16,24,-9999,-9999
SSS023,U20, 2022-08-12,08:14:00,-9999,Transect 1 through 7 taken upstream of sensors. Transect 8 was done about 3 m downstream from sensor. A lot of macrophyte cover. Very hard to distinguish wetted width and a lot of the stream was not visible or accessible. Tablet wasn't charged so unable to get latitude and longitude but all measurements were taken about 3 - 5 meters apart.,7,0.8,7,12,18,17,13,-9999,-9999
SSS023,U20, 2022-08-12,08:14:00,-9999,Transect 1 through 7 taken upstream of sensors. Transect 8 was done about 3 m downstream from sensor. A lot of macrophyte cover. Very hard to distinguish wetted width and a lot of the stream was not visible or accessible. Tablet wasn't charged so unable to get latitude and longitude but all measurements were taken about 3 - 5 meters apart.,8,3.2,10,31,40,44,38,-9999,-9999
SSS023,U20, 2022-08-12,08:14:00,-9999,Transect 1 through 7 taken upstream of sensors. Transect 8 was done about 3 m downstream from sensor. A lot of macrophyte cover. Very hard to distinguish wetted width and a lot of the stream was not visible or accessible. Tablet wasn't charged so unable to get latitude and longitude but all measurements were taken about 3 - 5 meters apart.,9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SSS023,U20, 2022-08-12,08:14:00,-9999,Transect 1 through 7 taken upstream of sensors. Transect 8 was done about 3 m downstream from sensor. A lot of macrophyte cover. Very hard to distinguish wetted width and a lot of the stream was not visible or accessible. Tablet wasn't charged so unable to get latitude and longitude but all measurements were taken about 3 - 5 meters apart.,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SSS024,W20, 2022-08-12,08:50:00,09:18:00,N/A,1,4,16,20,15,13,11,-9999,0.46
SSS024,W20, 2022-08-12,08:50:00,09:18:00,N/A,2,4.9,12,9,8,10,7,-9999,4.96
SSS024,W20, 2022-08-12,08:50:00,09:18:00,N/A,3,4.5,8,8,16,9,9,-9999,9.46
SSS024,W20, 2022-08-12,08:50:00,09:18:00,N/A,4,3.5,10,12,15,14,10,-9999,13.96
SSS024,W20, 2022-08-12,08:50:00,09:18:00,N/A,5,4,10,13,11,15,17,-9999,18.46
SSS024,W20, 2022-08-12,08:50:00,09:18:00,N/A,6,3.8,6,12,16,15,16,-9999,22.96
SSS024,W20, 2022-08-12,08:50:00,09:18:00,N/A,7,3.5,10,15,11,9,8,-9999,27.46
SSS024,W20, 2022-08-12,08:50:00,09:18:00,N/A,8,4,15,14,13,9,5,-9999,31.96
SSS024,W20, 2022-08-12,08:50:00,09:18:00,N/A,9,4.9,9,23,22,16,9,-9999,36.46
SSS024,W20, 2022-08-12,08:50:00,09:18:00,N/A,10,6.4,33,56,68,46,25,-9999,40.96
SSS027,S32, 2022-08-09,12:42:00,13:22:00,Transects 1 and 2 split just downstream of transect 2 and it continues past sensors.,1,7,17,35,48,50,52,-9999,4
SSS027,S32, 2022-08-09,12:42:00,13:22:00,Transects 1 and 2 split just downstream of transect 2 and it continues past sensors.,2,11.5,20,15,34,73,90,-9999,29.5
SSS027,S32, 2022-08-09,12:42:00,13:22:00,Transects 1 and 2 split just downstream of transect 2 and it continues past sensors.,3,9,29,45,57,89,43,-9999,50.5
SSS027,S32, 2022-08-09,12:42:00,13:22:00,Transects 1 and 2 split just downstream of transect 2 and it continues past sensors.,4,11,20,25,30,30,28,-9999,67.5
SSS027,S32, 2022-08-09,12:42:00,13:22:00,Transects 1 and 2 split just downstream of transect 2 and it continues past sensors.,5,10.5,22,19,23,21,14,-9999,87.5
SSS027,S32, 2022-08-09,12:42:00,13:22:00,Transects 1 and 2 split just downstream of transect 2 and it continues past sensors.,6,8.5,21,35,40,35,17,-9999,111.5
SSS027,S32, 2022-08-09,12:42:00,13:22:00,Transects 1 and 2 split just downstream of transect 2 and it continues past sensors.,7,10.5,28,53,84,75,43,-9999,129.5
SSS027,S32, 2022-08-09,12:42:00,13:22:00,Transects 1 and 2 split just downstream of transect 2 and it continues past sensors.,8,11,7,14,14,15,9,-9999,148.5
SSS027,S32, 2022-08-09,12:42:00,13:22:00,Transects 1 and 2 split just downstream of transect 2 and it continues past sensors.,9,8.5,7,15,21,25,15,-9999,166.5
SSS027,S32, 2022-08-09,12:42:00,13:22:00,Transects 1 and 2 split just downstream of transect 2 and it continues past sensors.,10,6.5,9,14,17,18,12,-9999,190.5
SSS028,S42, 2022-08-08,09:35:00,10:10:00,Transects 4 and 5 had 2 channels. 2 measurements were made in one channel. 3 measurements were made in the other channel.,1,2.35,18,37,43,32,18,-9999,2
SSS028,S42, 2022-08-08,09:35:00,10:10:00,Transects 4 and 5 had 2 channels. 2 measurements were made in one channel. 3 measurements were made in the other channel.,2,1.1,8,15,20,16,10,-9999,10.3
SSS028,S42, 2022-08-08,09:35:00,10:10:00,Transects 4 and 5 had 2 channels. 2 measurements were made in one channel. 3 measurements were made in the other channel.,3,1.6,13,26,22,17,19,-9999,21.3
SSS028,S42, 2022-08-08,09:35:00,10:10:00,Transects 4 and 5 had 2 channels. 2 measurements were made in one channel. 3 measurements were made in the other channel.,4,1.75,6,10,5,6,8,-9999,35.3
SSS028,S42, 2022-08-08,09:35:00,10:10:00,Transects 4 and 5 had 2 channels. 2 measurements were made in one channel. 3 measurements were made in the other channel.,5,1.9,9,10,5,4,3,-9999,46.8
